PeakID (cmd=annotatePeaks.pl /home/xiang/New_disk1/CD8_CUTRUN/data//T48hr_NoQ_H3K27me3_idr.05.bed mm10 -cpu 20)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
819	chr10	86298393	86303064	+	0	NA	5' UTR (NM_011595, exon 1 of 5)	5' UTR (NM_011595, exon 1 of 5)	316	NM_011595	21859	Mm.4871	NM_011595	ENSMUSG00000020044	Timp3	Timp-3	tissue inhibitor of metalloproteinase 3	protein-coding
3268	chr17	6493005	6496764	+	0	NA	Intergenic	Intergenic	-43890	NR_033520	547127	Mm.297552	NM_001045538		Tmem181b-ps	Tmem181b	transmembrane protein 181B, pseudogene	pseudo
3650	chr18	14479305	14481779	+	0	NA	Intergenic	Intergenic	202372	NM_009280	268996	Mm.31761	NM_009280	ENSMUSG00000037013	Ss18	D130059H17|Ssxt|Syt	SS18, nBAF chromatin remodeling complex subunit	protein-coding
5385	chr3	122616375	122623743	+	0	NA	promoter-TSS (NM_153118)	promoter-TSS (NM_153118)	-345	NM_153118	214459	Mm.209491	NM_153118	ENSMUSG00000039735	Fnbp1l	2610318I01Rik|AW548221|TOCA1|toca-1	formin binding protein 1-like	protein-coding
2932	chr15	99523999	99528943	+	0	NA	intron (NM_001038658, intron 1 of 11)	intron (NM_001038658, intron 1 of 11)	1694	NM_001038658	72393	Mm.39760	NM_028224	ENSMUSG00000023011	Faim2	2900002L20Rik|Lfg|Lfg2|NMP25|Nmp35|Tmbim2	Fas apoptotic inhibitory molecule 2	protein-coding
2729	chr15	37530907	37531798	+	0	NA	intron (NM_001359841, intron 3 of 7)	intron (NM_001359841, intron 3 of 7)	-71970	NM_001170867	52589	Mm.283370	NM_134094	ENSMUSG00000051359	Ncald	AI848120|D030020D09Rik|D15Ertd412e	neurocalcin delta	protein-coding
4453	chr2	74706217	74720200	+	0	NA	intron (NM_010468, intron 1 of 2)	intron (NM_010468, intron 1 of 2)	1215	NM_010468	15434	Mm.430708	NM_010468	ENSMUSG00000079277	Hoxd3	Hox-4.1|Hox-5.5	homeobox D3	protein-coding
571	chr1	192846916	192859707	+	0	NA	intron (NM_198247, intron 1 of 3)	intron (NM_198247, intron 1 of 3)	-1564	NM_001177794	214791	Mm.22806	NM_198247	ENSMUSG00000016262	Sertad4	4833404A09|C130018M11Rik	SERTA domain containing 4	protein-coding
1167	chr11	69601921	69605987	+	0	NA	intron (NM_013415, intron 1 of 6)	intron (NM_013415, intron 1 of 6)	2006	NM_013415	11932	Mm.235204	NM_013415	ENSMUSG00000041329	Atp1b2	Amog|Atpb-2	ATPase, Na+/K+ transporting, beta 2 polypeptide	protein-coding
517	chr1	181968116	181969048	+	0	NA	intron (NM_008680, intron 1 of 14)	intron (NM_008680, intron 1 of 14)	51398	NM_001083120	13800	Mm.87759	NM_008680	ENSMUSG00000022995	Enah	Mena|NDPP-1|Ndpp1|WBP8	ENAH actin regulator	protein-coding
1304	chr11	86023206	86024973	+	0	NA	intron (NR_046030, intron 1 of 4)	intron (NR_046030, intron 1 of 4)	261	NR_046030	629393	Mm.372867	NR_046030		Gm20759	-	predicted gene, 20759	ncRNA
2605	chr14	70620967	70629136	+	0	NA	intron (NM_001360025, intron 1 of 15)	RLTR31D_MM|LTR|ERVK	2014	NM_001252662	13829	Mm.210863	NM_013514	ENSMUSG00000022099	Dmtn	AI325486|Epb4.9|Epb49|dematin	dematin actin binding protein	protein-coding
1685	chr12	25099473	25104882	+	0	NA	Intergenic	Lx9|LINE|L1	-6085	NM_010496	15902	Mm.34871	NM_010496	ENSMUSG00000020644	Id2	AI255428|C78922|Idb2|bHLHb26	inhibitor of DNA binding 2	protein-coding
681	chr10	44524251	44525694	+	0	NA	Intergenic	Intergenic	-66224	NM_007548	12142	Mm.4800	NM_007548	ENSMUSG00000038151	Prdm1	Blimp-1|Blimp1|PRDI-BF1|ZNFPR1A1|b2b1765Clo	PR domain containing 1, with ZNF domain	protein-coding
8423	chr9	64632279	64639802	+	0	NA	intron (NM_001134399, intron 5 of 24)	intron (NM_001134399, intron 5 of 24)	101716	NM_017382	53869	Mm.1387	NM_017382	ENSMUSG00000004771	Rab11a	-	RAB11A, member RAS oncogene family	protein-coding
5148	chr3	65524725	65526786	+	0	NA	Intergenic	U6|snRNA|snRNA	-2692	NM_178892	99929	Mm.246398	NM_178892	ENSMUSG00000034640	Tiparp	ARTD14|AW558171|PARP7	TCDD-inducible poly(ADP-ribose) polymerase	protein-coding
6855	chr6	85085234	85087809	+	0	NA	Intergenic	Intergenic	10339	NR_002702	108176	Mm.431982	NR_002702		Npm3-ps1	-	nucleoplasmin 3, pseudogene 1	pseudo
6419	chr5	113160888	113163429	+	0	NA	intron (NM_172884, intron 1 of 7)	intron (NM_172884, intron 1 of 7)	1155	NM_172884	243219	Mm.160131	NM_172884	ENSMUSG00000051339	2900026A02Rik	8430408O14Rik|A530094D01|AW539426|Gm449|Kiaa1671|mKIAA1671	RIKEN cDNA 2900026A02 gene	protein-coding
1670	chr12	12197114	12200121	+	0	NA	Intergenic	IAPEY3C_LTR|LTR|ERVK	-63560	NM_001146119	76820	Mm.440802	NM_029758	ENSMUSG00000020589	Fam49a	2410157M17Rik|9630047E15|D12Ertd553e	family with sequence similarity 49, member A	protein-coding
4079	chr19	47175438	47182575	+	0	NA	5' UTR (NM_021360, exon 1 of 6)	5' UTR (NM_021360, exon 1 of 6)	186	NM_021360	18011	Mm.313651	NM_021360	ENSMUSG00000006435	Neurl1a	2410129E16Rik|AI450910|AI481072|Neu1|Neur1|Neurl|Neurl1|Nlz|Rnf67	neuralized E3 ubiquitin protein ligase 1A	protein-coding
3948	chr19	24170153	24178509	+	0	NA	promoter-TSS (NM_001198985)	promoter-TSS (NM_001198985)	-142	NM_001198985	21873	Mm.104744	NM_011597	ENSMUSG00000024812	Tjp2	ZO-2	tight junction protein 2	protein-coding
1657	chr12	4032020	4042965	+	0	NA	intron (NM_001082483, intron 1 of 22)	intron (NM_001082483, intron 1 of 22)	1423	NM_001082483	668212	Mm.210266	NM_001082483	ENSMUSG00000020658	Efr3b	AI852640|C030014M07Rik|mKIAA0953	EFR3 homolog B	protein-coding
6761	chr6	52149383	52158309	+	0	NA	Intergenic	Intergenic	-3056	NR_146400	106007488	Mm.483079	NR_146400		Hotairm2	-	Hoxa transcript antisense RNA, myeloid-specific 2	ncRNA
6341	chr5	93030962	93031322	+	0	NA	Intergenic	Intergenic	13880	NM_175270	78088	Mm.245085	NM_175270	ENSMUSG00000045314	Sowahb	5730467H21Rik|Ankrd56	sosondowah ankyrin repeat domain family member B	protein-coding
2067	chr13	34916655	34917391	+	0	NA	intron (NM_027967, intron 1 of 7)	intron (NM_027967, intron 1 of 7)	2969	NM_027967	71864	Mm.380836	NM_027967	ENSMUSG00000021414	Fam217a	1700026J04Rik	family with sequence similarity 217, member A	protein-coding
3320	chr17	23741581	23747914	+	0	NA	intron (NM_028416, intron 2 of 9)	intron (NM_028416, intron 2 of 9)	1082	NM_028416	73016	Mm.221319	NM_028416	ENSMUSG00000040680	Kremen2	2900054E04Rik|Krm2	kringle containing transmembrane protein 2	protein-coding
3605	chr17	85669949	85675767	+	0	NA	Intergenic	Intergenic	15396	NM_011380	20472	Mm.5039	NM_011380	ENSMUSG00000024134	Six2	-	sine oculis-related homeobox 2	protein-coding
5494	chr4	9053835	9056704	+	0	NA	Intergenic	Intergenic	-214024	NM_001355183	74438	Mm.473368	NM_028940	ENSMUSG00000041216	Clvs1	4933402J24Rik|Clvl1|Rlbp1l1	clavesin 1	protein-coding
3696	chr18	36487976	36492102	+	0	NA	Intergenic	Intergenic	25766	NM_010415	15200	Mm.289681	NM_010415	ENSMUSG00000024486	Hbegf	AW047313|Dtr|Dts|Hegfl	heparin-binding EGF-like growth factor	protein-coding
6874	chr6	86177113	86179406	+	0	NA	Intergenic	Intergenic	-16968	NM_031199	21802	Mm.137222	NM_031199	ENSMUSG00000029999	Tgfa	wa-1|wa1	transforming growth factor alpha	protein-coding
3827	chr18	75817578	75823283	+	0	NA	intron (NM_145356, intron 1 of 4)	CpG	252	NM_145356	207259	Mm.159332	NM_145356	ENSMUSG00000044646	Zbtb7c	B230208J24Rik|Kr-pok|Zbtb36	zinc finger and BTB domain containing 7C	protein-coding
7092	chr6	142601428	142603830	+	0	NA	intron (NM_011511, intron 34 of 39)	Lx2|LINE|L1	-11966	NR_037679	321015	Mm.35670	NM_177314	ENSMUSG00000104234	5330439B14Rik	-	RIKEN cDNA 5330439B14 gene	ncRNA
3504	chr17	55887098	55890866	+	0	NA	Intergenic	RLTR19|LTR|ERVK	-3111	NM_145490	224893	Mm.294853	NM_145490	ENSMUSG00000003198	Zfp959	-	zinc finger protein 959	protein-coding
657	chr10	40751206	40751877	+	0	NA	intron (NM_177793, intron 4 of 4)	intron (NM_177793, intron 4 of 4)	68259	NM_177793	327747	Mm.80407	NM_177793	ENSMUSG00000045555	Mettl24	9030224M15Rik	methyltransferase like 24	protein-coding
1663	chr12	8815529	8817537	+	0	NA	Intergenic	Intergenic	45137	NM_011519	20969	Mm.2580	NM_011519	ENSMUSG00000020592	Sdc1	AA408134|AA409076|CD138|Sstn|Synd|Synd1|syn-1	syndecan 1	protein-coding
8452	chr9	69698127	69701465	+	0	NA	Intergenic	Intergenic	61144	NM_022378	64290	Mm.440890	NM_022378	ENSMUSG00000059246	Foxb1	C43|Fkh5|Foxb1a|Foxb1b|Hfh-e5.1|Mf3|Twh	forkhead box B1	protein-coding
5918	chr4	134402326	134404051	+	0	NA	intron (NM_001285877, intron 1 of 7)	intron (NM_001285877, intron 1 of 7)	218	NM_001285877	100163	Mm.22116	NM_133880	ENSMUSG00000037366	Pafah2	2310074E22Rik|AI507170	platelet-activating factor acetylhydrolase 2	protein-coding
2527	chr14	61103921	61107012	+	0	NA	Intergenic	MT2C_Mm|LTR|ERVL	-32991	NM_015788	50720	Mm.440703	NM_015788	ENSMUSG00000048279	Sacs	A230052M14|DNAJC29|E130115J16Rik	sacsin	protein-coding
2226	chr13	78201877	78213864	+	0	NA	intron (NR_045195, intron 1 of 2)	intron (NR_045195, intron 1 of 2)	-8997	NM_010151	13865	Mm.439653	NM_010151	ENSMUSG00000069171	Nr2f1	COUP-TF1|COUP-TFI|COUPTFA|EAR-3|EAR3|Erbal3|SVP44|Tcfcoup1	nuclear receptor subfamily 2, group F, member 1	protein-coding
5160	chr3	68503116	68503551	+	0	NA	intron (NM_001282044, intron 2 of 7)	Lx8|LINE|L1	9152	NM_001282044	30953	Mm.331064	NM_013928	ENSMUSG00000027777	Schip1	Nf2ip|Schip-1	schwannomin interacting protein 1	protein-coding
55	chr1	36618404	36621424	+	0	NA	intron (NM_001126046, intron 6 of 14)	GA-rich|Low_complexity|Low_complexity	-26582	NM_027957	381337	Mm.17413	NM_027957	ENSMUSG00000046337	Fam178b	1700024G10Rik|Gm990	family with sequence similarity 178, member B	protein-coding
5197	chr3	87171189	87177629	+	0	NA	5' UTR (NM_130867, exon 1 of 16)	5' UTR (NM_130867, exon 1 of 16)	338	NM_001170985	170643	Mm.89552	NM_130867	ENSMUSG00000041734	Kirrel	6720469N11Rik|Kirrel1|Neph1	kirre like nephrin family adhesion molecule 1	protein-coding
4223	chr2	26297082	26300795	+	0	NA	Intergenic	Intergenic	-4381	NM_177841	329366	Mm.77712	NM_177841	ENSMUSG00000048038	Ccdc187	4932418E24Rik	coiled-coil domain containing 187	protein-coding
355	chr1	136251903	136254434	+	0	NA	Intergenic	Intergenic	7758	NM_001101516	383563	Mm.40367	NM_001101516	ENSMUSG00000052759	Gpr25	Gm1300	G protein-coupled receptor 25	protein-coding
392	chr1	156195453	156206729	+	0	NA	intron (NM_177838, intron 1 of 4)	intron (NM_177838, intron 1 of 4)	3935	NM_177838	329274	Mm.150857	NM_177838	ENSMUSG00000015484	Fam163a	A230106N23Rik	family with sequence similarity 163, member A	protein-coding
3516	chr17	57140954	57151036	+	0	NA	TTS (NM_011617)	TTS (NM_011617)	3782	NM_011617	21948	Mm.42228	NM_011617	ENSMUSG00000019489	Cd70	CD27LG|Cd27l|Tnfsf7|Tnlg8a	CD70 antigen	protein-coding
4075	chr19	47011306	47021412	+	0	NA	intron (NM_146100, intron 1 of 2)	intron (NM_146100, intron 1 of 2)	-1170	NM_001164363	76952	Mm.40965	NM_029810	ENSMUSG00000025041	Nt5c2	2010002I23Rik|CnII|Gm9751|Gmp|Nt5b|Pnt5|cN-II	5'-nucleotidase, cytosolic II	protein-coding
621	chr10	22345135	22352546	+	0	NA	intron (NM_009018, intron 6 of 6)	MT2B1|LTR|ERVL	-13054	NM_020030	56554	Mm.458004	NM_020030	ENSMUSG00000078452	Raet1d	RAE-1delta	retinoic acid early transcript delta	protein-coding
7175	chr7	24824622	24830365	+	0	NA	intron (NR_045096, intron 5 of 11)	intron (NR_045096, intron 5 of 11)	8698	NR_045096	545936	Mm.376228	NR_045096	ENSMUSG00000011350	Gm5893	EG545936|Gm477	predicted gene 5893	pseudo
1655	chr11	121931657	121932053	+	0	NA	Intergenic	RLTR9E|LTR|ERVK	101637	NM_029049	74675	Mm.61213	NM_029049	ENSMUSG00000039198	Ptchd3	4930451E13Rik|4933440L20Rik|RNDEu-3	patched domain containing 3	protein-coding
3438	chr17	35593935	35595631	+	0	NA	Intergenic	B1_Mur3|SINE|Alu	27298	NM_175148	69542	Mm.265291	NM_175148	ENSMUSG00000039269	2300002M23Rik	Stg|emprin	RIKEN cDNA 2300002M23 gene	protein-coding
7284	chr7	45867463	45872654	+	0	NA	Intergenic	Intergenic	-2782	NM_133950	68137	Mm.298433	NM_133950	ENSMUSG00000002778	Kdelr1	8030486F04Rik|AW215843|Erd2.1	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1	protein-coding
5929	chr4	135641060	135646262	+	0	NA	Intergenic	RSINE1|SINE|B4	17006	NR_015613	73937	Mm.292326	NM_028688	ENSMUSG00000086788	1700029M20Rik	4930406E24Rik	RIKEN cDNA 1700029M20 gene	ncRNA
4870	chr2	152908650	152914482	+	0	NA	exon (NM_001081044, exon 1 of 12)	exon (NM_001081044, exon 1 of 12)	214	NM_001081044	228785	Mm.250604	NM_001081044	ENSMUSG00000027470	Mylk2	9830004H17Rik|BB138278	myosin, light polypeptide kinase 2, skeletal muscle	protein-coding
6258	chr5	53323001	53325435	+	0	NA	Intergenic	L2c|LINE|L2	57112	NM_001145433	66278	Mm.27900	NM_001145433	ENSMUSG00000061461	Smim20	1110067B18Rik|1810013D10Rik|N28078	small integral membrane protein 20	protein-coding
2426	chr14	34217836	34221635	+	0	NA	promoter-TSS (NM_181529)	promoter-TSS (NM_181529)	-311	NM_176931	319508	Mm.228006	NM_176931	ENSMUSG00000041479	Syt15	CHR10SYT|E230025K04Rik|sytXV	synaptotagmin XV	protein-coding
2909	chr15	97948299	97956040	+	0	NA	Intergenic	Intergenic	-12060	NM_001252153	380967	Mm.196630	NM_201359	ENSMUSG00000052369	Tmem106c	AI046681|BC046621|D15Ertd405e	transmembrane protein 106C	protein-coding
1627	chr11	118998028	119001844	+	0	NA	Intergenic	Intergenic	11755	NM_001359574	238011	Mm.244114	NM_001030291	ENSMUSG00000046697	Enpp7	Alk-SMase|Gm254	ectonucleotide pyrophosphatase/phosphodiesterase 7	protein-coding
5264	chr3	95899022	95905921	+	0	NA	intron (NM_001355751, intron 1 of 11)	intron (NM_001355751, intron 1 of 11)	2214	NM_001355751	23831	Mm.489647	NM_011797	ENSMUSG00000038526	Car14	AW536446|CA-XIV|Ca14	carbonic anhydrase 14	protein-coding
4773	chr2	132790155	132794894	+	0	NA	exon (NM_007694, exon 4 of 5)	exon (NM_007694, exon 4 of 5)	10882	NM_007694	12653	Mm.255241	NM_007694	ENSMUSG00000027350	Chgb	Scg-1|cgB|sgI	chromogranin B	protein-coding
5693	chr4	107601541	107608808	+	0	NA	intron (NM_147221, intron 4 of 10)	intron (NM_147221, intron 4 of 10)	78415	NR_151717	56296	Mm.141324	NM_019872	ENSMUSG00000028610	Dmrtb1	Dmrt6|Prp13	DMRT-like family B with proline-rich C-terminal, 1	protein-coding
6434	chr5	114568350	114569655	+	0	NA	intron (NM_001004180, intron 1 of 2)	intron (NM_001004180, intron 1 of 2)	751	NM_001004180	433940	Mm.194212	NM_001004180	ENSMUSG00000041930	Fam222a	-	family with sequence similarity 222, member A	protein-coding
884	chr10	119451073	119457814	+	0	NA	intron (NM_133442, intron 1 of 21)	CpG	409	NM_001358809	74053	Mm.196692	NM_028736	ENSMUSG00000034813	Grip1	4931400F03Rik|GRIP|eb	glutamate receptor interacting protein 1	protein-coding
4837	chr2	151660785	151663621	+	0	NA	intron (NM_001276400, intron 4 of 12)	intron (NM_001276400, intron 4 of 12)	6330	NM_001276400	668929	Mm.473683	NM_001114677	ENSMUSG00000074704	Rad21l	Gm14160|MeiRAD21L|Rad21l1	RAD21-like (S. pombe)	protein-coding
5923	chr4	135030231	135032433	+	0	NA	Intergenic	Intergenic	-89313	NM_019732	12399	Mm.378894	NM_019732	ENSMUSG00000070691	Runx3	AML2|Cbfa3|Pebp2a3	runt related transcription factor 3	protein-coding
3503	chr17	52598713	52604599	+	0	NA	intron (NR_155517, intron 1 of 1)	intron (NR_155517, intron 1 of 1)	1004	NR_155517	108168350	Mm.385076	NR_155517		Gm27217	-	predicted gene 27217	ncRNA
3846	chr18	82403066	82411119	+	0	NA	promoter-TSS (NM_008082)	promoter-TSS (NM_008082)	-315	NM_008082	14427	Mm.6219	NM_008082	ENSMUSG00000024553	Galr1	Galnr1	galanin receptor 1	protein-coding
3056	chr16	18683219	18689436	+	0	NA	Intergenic	Intergenic	-56389	NM_213614	18951	Mm.20365	NM_213614	ENSMUSG00000072214	Sept5	Cdcrel-1|Cdcrel1|Pnutl1	septin 5	protein-coding
2530	chr14	61270264	61277151	+	0	NA	Intergenic	(TG)n|Simple_repeat|Simple_repeat	-15217	NM_011892	24053	Mm.72173	NM_011892	ENSMUSG00000035296	Sgcg	35kDa|5430420E18Rik|AI642964|gamma-SG	sarcoglycan, gamma (dystrophin-associated glycoprotein)	protein-coding
8416	chr9	63924930	63932409	+	0	NA	Intergenic	Intergenic	93390	NM_008542	17130	Mm.325757	NM_008542	ENSMUSG00000036867	Smad6	Madh6|b2b390Clo	SMAD family member 6	protein-coding
8083	chr8	124623668	124625578	+	0	NA	Intergenic	Intergenic	38746	NM_175149	69551	Mm.261920	NM_175149	ENSMUSG00000031983	2310022B05Rik	-	RIKEN cDNA 2310022B05 gene	protein-coding
4476	chr2	76319478	76323987	+	0	NA	intron (NM_001081033, intron 1 of 19)	intron (NM_001081033, intron 1 of 19)	17061	NM_001081033	241489	Mm.246613	NM_001081033	ENSMUSG00000075270	Pde11a	6330414F14Rik|A630086N24Rik|Gm350|PDE11A1	phosphodiesterase 11A	protein-coding
7439	chr7	97082837	97084200	+	0	NA	intron (NM_001162477, intron 1 of 9)	intron (NM_001162477, intron 1 of 9)	1767	NM_010248	14389	Mm.42033	NM_010248	ENSMUSG00000004508	Gab2	AI463667|D130058I17Rik|p97	growth factor receptor bound protein 2-associated protein 2	protein-coding
3380	chr17	29793645	29794336	+	0	NA	Intergenic	Intergenic	-76973	NM_001163741	68597	Mm.390979	NM_026782	ENSMUSG00000024018	Ccdc167	1110021J02Rik	coiled-coil domain containing 167	protein-coding
3649	chr18	13973538	13979737	+	0	NA	Intergenic	Intergenic	-3904	NM_145492	225207	Mm.40325	NM_145492	ENSMUSG00000024420	Zfp521	B930086A16Rik|Evi3|Znf521	zinc finger protein 521	protein-coding
22	chr1	14753010	14759025	+	0	NA	promoter-TSS (NM_001360810)	promoter-TSS (NM_001360810)	-51	NM_010827	17681	Mm.5820	NM_010827	ENSMUSG00000025930	Msc	MyoR|bHLHa22	musculin	protein-coding
4281	chr2	33493151	33495100	+	0	NA	Intergenic	Intergenic	-25593	NM_027947	71834	Mm.44186	NM_027947	ENSMUSG00000026788	Zbtb43	1700010E06Rik|Zfp297b|mKIAA0414	zinc finger and BTB domain containing 43	protein-coding
2750	chr15	58382832	58386145	+	0	NA	intron (NM_027211, intron 1 of 8)	intron (NM_027211, intron 1 of 8)	4786	NM_027211	69787	Mm.237985	NM_027211		Anxa13	1810034H17Rik|AV055219	annexin A13	protein-coding
1746	chr12	70121132	70125321	+	0	NA	Intergenic	ID_B1|SINE|B4	-11191	NM_008697	18080	Mm.244047	NM_008697	ENSMUSG00000021068	Nin	3110068G20Rik|AI385615|AU024711|mKIAA1565	ninein	protein-coding
4935	chr2	163221737	163224277	+	0	NA	intron (NM_001363063, intron 1 of 8)	intron (NM_001363063, intron 1 of 8)	-2447	NM_001363064	269389	Mm.207709	NM_001098799	ENSMUSG00000074607	Tox2	AI851523|AV026525|BI987407|Gcx1|RxHMG1	TOX high mobility group box family member 2	protein-coding
4469	chr2	75136429	75142373	+	0	NA	Intergenic	Intergenic	304778	NR_040635	77269	Mm.389278	NR_040635		9430019J16Rik	-	RIKEN cDNA 9430019J16 gene	ncRNA
1837	chr12	85453257	85454110	+	0	NA	Intergenic	Intergenic	-20207	NM_010234	14281	Mm.246513	NM_010234	ENSMUSG00000021250	Fos	D12Rfj1|c-fos|cFos	FBJ osteosarcoma oncogene	protein-coding
7891	chr8	84019828	84025467	+	0	NA	intron (NM_028877, intron 1 of 6)	(TG)n|Simple_repeat|Simple_repeat	1173	NM_028877	74337	Mm.250943	NM_028877	ENSMUSG00000047986	Palm3	4432412L15Rik|AL024300	paralemmin 3	protein-coding
6338	chr5	92964024	92967551	+	0	NA	TTS (NM_001077596)	TTS (NM_001077596)	67794	NM_001077596	27428	Mm.46014	NM_015756	ENSMUSG00000029381	Shroom3	AL022960|D5Ertd287e|Shrm|Shrm3	shroom family member 3	protein-coding
2005	chr13	15755114	15758895	+	0	NA	Intergenic	MIRc|SINE|MIR	45626	NR_045507	71071	Mm.380845	NR_045507	ENSMUSG00000113960	4933412O06Rik	-	RIKEN cDNA 4933412O06 gene	ncRNA
5176	chr3	82135635	82138511	+	0	NA	intron (NM_021896, intron 1 of 8)	intron (NM_021896, intron 1 of 8)	8000	NM_001356987	60596	Mm.143831	NM_021896	ENSMUSG00000033910	Gucy1a1	1200016O07Rik|GCS-alpha-1|GCS-alpha-3|Gucy1a3|sGC-alpha1	guanylate cyclase 1, soluble, alpha 1	protein-coding
3264	chr17	6252083	6260256	+	0	NA	promoter-TSS (NM_001357884)	promoter-TSS (NM_001357884)	-691	NM_001357884	77106	Mm.381893	NM_001033178	ENSMUSG00000038141	Tmem181a	5930418K15Rik|C76977|Gpr178|Tmem181|mKIAA1423	transmembrane protein 181A	protein-coding
7596	chr7	121862681	121866726	+	0	NA	promoter-TSS (NM_001272023)	promoter-TSS (NM_001272023)	-335	NR_073548	20277	Mm.7709	NM_011325	ENSMUSG00000030873	Scnn1b	-	sodium channel, nonvoltage-gated 1 beta	protein-coding
2674	chr14	119134890	119142612	+	0	NA	exon (NM_015820, exon 1 of 2)	exon (NM_015820, exon 1 of 2)	486	NM_015820	50787	Mm.445777	NM_015820	ENSMUSG00000053465	Hs6st3	6OST3|HS6ST-3	heparan sulfate 6-O-sulfotransferase 3	protein-coding
2458	chr14	51356906	51359615	+	0	NA	Intergenic	CpG	-12771	NR_045736	75377	Mm.402100	NR_045736	ENSMUSG00000115540	4930597G03Rik	-	RIKEN cDNA 4930597G03 gene	ncRNA
8064	chr8	122225351	122233718	+	0	NA	promoter-TSS (NM_001362883)	promoter-TSS (NM_001362883)	-740	NM_001362883	195209	Mm.102191	NM_001362883		Zfp469	Gm22	zinc finger protein 469	protein-coding
7661	chr7	140042574	140054346	+	0	NA	intron (NM_010836, intron 1 of 1)	CpG	628	NM_010836	17703	Mm.4816	NM_010836	ENSMUSG00000025469	Msx3	AI323377	msh homeobox 3	protein-coding
1214	chr11	76702235	76709301	+	0	NA	Intergenic	Intergenic	25895	NM_177709	237858	Mm.127006	NM_177709	ENSMUSG00000046275	Trarg1	C130069F04Rik|DSPB1|Lost1|Tusc5	trafficking regulator of GLUT4 (SLC2A4) 1	protein-coding
4412	chr2	72514568	72522500	+	0	NA	Intergenic	Intergenic	42315	NM_025866	66953	Mm.270676	NM_025866	ENSMUSG00000055612	Cdca7	2310021G01Rik|AU044109|JPO1	cell division cycle associated 7	protein-coding
5098	chr3	26331902	26333368	+	0	NA	promoter-TSS (NM_138666)	promoter-TSS (NM_138666)	-726	NM_138666	192167	Mm.316080	NM_138666	ENSMUSG00000063887	Nlgn1	6330415N05Rik|BB179718|NL1|Nlg1|mKIAA1070	neuroligin 1	protein-coding
2210	chr13	74068284	74073707	+	0	NA	Intergenic	Intergenic	-8710	NM_028959	74470	Mm.73234	NM_028959	ENSMUSG00000021572	Cep72	2610029E11Rik|4933440J22Rik	centrosomal protein 72	protein-coding
8594	chr9	102687503	102691726	+	0	NA	Intergenic	Intergenic	-28190	NM_019764	56332	Mm.21145	NM_019764	ENSMUSG00000032531	Amotl2	AW549739|C79691|Lccp|MASCOT|mKIAA0989	angiomotin-like 2	protein-coding
5254	chr3	94772420	94787899	+	0	NA	intron (NM_001037711, intron 1 of 20)	intron (NM_001037711, intron 1 of 20)	6323	NM_001037711	70737	Mm.87634	NM_001037711	ENSMUSG00000068876	Cgn	6330408J11Rik	cingulin	protein-coding
1005	chr11	33194304	33213532	+	0	NA	promoter-TSS (NM_019916)	promoter-TSS (NM_019916)	-330	NM_019916	27140	Mm.25362	NM_019916	ENSMUSG00000040610	Tlx3	Hox11l2|Rnx|Tlx1l2	T cell leukemia, homeobox 3	protein-coding
3845	chr18	80980879	80995282	+	0	NA	Intergenic	Intergenic	-1059	NM_178280	20689	Mm.215917	NM_178280	ENSMUSG00000024565	Sall3	B130022O04Rik|Msal|Msal-1|Sal|Salt|Spalt	spalt like transcription factor 3	protein-coding
219	chr1	89017158	89020324	+	0	NA	intron (NR_040471, intron 2 of 2)	intron (NR_040471, intron 2 of 2)	2628	NR_040471	73475	Mm.491040	NR_040471	ENSMUSG00000099378	1700067G17Rik	-	RIKEN cDNA 1700067G17 gene	ncRNA
227	chr1	89939172	89942625	+	0	NA	Intergenic	Intergenic	-9722	NM_010262	14472	Mm.204730	NM_010262	ENSMUSG00000034486	Gbx2	D130058E05Rik|Gbx-2|MMoxA|Stra7	gastrulation brain homeobox 2	protein-coding
879	chr10	118222896	118227819	+	0	NA	Intergenic	MTC-int|LTR|ERVL-MaLR	20393	NM_016971	50929	Mm.103585	NM_016971	ENSMUSG00000074695	Il22	IL-22|IL-22a|ILTIFa|Iltif	interleukin 22	protein-coding
4846	chr2	152037975	152051158	+	0	NA	Intergenic	Lx4B|LINE|L1	-36963	NM_001160410	545474	Mm.214317	NM_001160410	ENSMUSG00000060257	Scrt2	AW060659	scratch family zinc finger 2	protein-coding
2178	chr13	58455085	58466259	+	0	NA	Intergenic	L1MA7|LINE|L1	-57329	NM_001301341	15387	Mm.142872	NM_025279	ENSMUSG00000021546	Hnrnpk	Hnrpk|KBBP|NOVA	heterogeneous nuclear ribonucleoprotein K	protein-coding
3918	chr19	11135961	11143067	+	0	NA	TTS (NM_001370777)	TTS (NM_001370777)	-8636	NM_027058	69369	Mm.391200	NM_027058	ENSMUSG00000024729	1700017D01Rik	-	RIKEN cDNA 1700017D01 gene	protein-coding
